Sr.No,Product Name,Product Price
0,"Meat Up Adult Dog Food, 1.2 kg (Buy 1 Get 1 Free)",319
1,"PURINA SUPERCOAT Puppy Dry Dog Food, Chicken Flavour, Combo Pack - 8Kg + 2Kg","2,709"
2,"Drools Chicken and Egg Adult Dry Dog Food, 3 kg with Free 1.2 kg",594
3,"Purepet Chicken & Vegetable Adult Dry Dog Food, 20kg","1,680"
4,"Pedigree Dry Food for Adult Dogs, Chicken & Vegetables Flavour, 3kg Pack",660
5,"Chappi Dry Food for Adult Dogs, Chicken & Rice Flavour, 3kg Pack",419
6,"Purepet Meat and Rice Dry Dog Adult, 10kg",934
7,"Meat Up Chicken Flavour Real Chicken Biscuit, 500g (Buy 1 Get 1 Free)",229
8,"Pedigree Wet Food for Adult Dogs, Chicken & Liver Chunks in Gravy Flavour, Pack of 15 (15 x 70g)",540
9,"Drools Chicken and Egg Adult Dry Dog Food, 3 kg with Free 1.2 kg",594
10,"Meat Up All Life Stages Mutton Flavour , Real Chicken Biscuit, 500g ( Pack of 2).",229
11,"Meat Up Puppy Dog Food, 3 kg (Buy 1 Get 1 Free)",699
12,"Meat Up Meat and Rice Adult Dry Dog Food, 10kg (Buy 1 Get 1 Free)","1,799"
13,"Drools Maintenance Adult Dry Dog Food, Chicken Flavour, 22kg (20kg with 2kg Free Inside)","2,541"
14,"Drools Adult Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy, 24 Pouches (24 x 150g)",714
15,"Pedigree Dry Food for Adult Dogs (High Protein Variant), Chicken, Egg & Rice Flavour, 3kg Pack",675
16,"Drools Optimum Performance Adult Dry Dog Food, 10kg","1,199"
17,"Meat Up Adult Dog Food, 1.2 kg (Buy 1 Get 1 Free)",319
18,"Meat Up Calcium Bone Jar, Dog Supplement Treats - 240 g, 30 Pieces (Buy 1 Get 1 Free)",399
19,"Pedigree Dry Food for Adult Dogs, Meat & Rice Flavour, 3kg Pack",652
20,"Pedigree Dry Food for Puppy, Chicken & Milk Flavour, 3kg Pack",702
21,"Meat Up Chicken and Milk Puppy Dry Dog Food, 1.2kg (Buy 1 Get 1 Free)",254
22,"MS PET HOUSE All Life Stages Dog Chew Sticks Munchy Stick Mix Flavours 1 Kg. Dogs Snacks, Treats (500g Chicken and 500g Mutton Pack of 1)",250
23,"Drools Adult Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy, 15 Pouches (15 x 150g)",425
24,"Pedigree Dentastix Oral Care Treats for Medium Breed Adult Dogs (10-25kg), 7 Sticks, 180g Weekly Pack",200
25,"Drools Chicken and Egg Puppy Dry Dog Food, 3kg with Free 1.2kg",629
26,"Pedigree PRO Expert Nutrition Dry Dog Food for Large Breed Puppy (3-18 Months), 3kg Pack, Chicken Flavour","1,008"
27,"Pedigree Wet Food for Puppy, Chicken Chunks in Gravy Flavour, Pack of 15 (15 x 70g)",540
28,"Meat Up Chicken Gravy Supplement, Skin+Coat- 80g, Pack of 10 ( Buy 1 Get 1 Free)",423
29,"Drools Puppy Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy, 15 Pouches (15 x 150g)",425
30,"Meat Up Wet Dog Food, Real Chicken & Chicken Liver in Gravy For All Life Stages, 12 Pouches (12 x 70g, Buy 1 Get 1 Free)",527
31,"Purina Supercoat Puppy Dry Dog Food, Chicken - 2kg Pack & SUPERCOAT Puppy All Breed Dry Dog Food, Chicken- 3Kg Pack, Small","1,364"
32,"Kennel Kitchen Puppy and Adult Wet Dog Food Chicken Chunks in Gravy, 70g (Pack of 12)",378
33,"Purepet Chicken & Vegetable Adult Dry Dog Food, 20kg","1,680"
34,"Pedigree Dry Food for Adult Dogs, Chicken & Vegetables Flavour, 20kg Pack","3,499"
35,"Pedigree Wet Food for Adult Dogs, Chicken & Liver Chunks in Gravy Flavour, Pack of 15 (15 x 70g)",540
36,"Meat Up Chicken Flavour Real Chicken Biscuit, 500g (Buy 1 Get 1 Free)",229
37,"Pedigree Wet Food for Adult Dogs, Chicken & Liver Chunks in Gravy Flavour, Pack of 15 (15 x 70g)",540
38,"Drools Adult Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy, 24 Pouches (24 x 150g)",714
39,"Pedigree Wet Food for Puppy, Chicken Chunks in Gravy Flavour, Pack of 15 (15 x 70g)",540
40,"Drools Puppy Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy, 15 Pouches (15 x 150g)",425
